#CALMSEA List – comparing Gam Win and Lakhum Mossang
#Nouns
!CALMSEA	Phonemic (following Gam Win)	Muishvung (Gam Win’s system)	Muishvung PUA (Lakhum Mossang)	Name of Unicode characters ( without final -a)	Notes
belly (exterior)	βuk	wuk		w uz k	
breast	pɯ²	puix		p uix	
blood	təɣɯi¹	tvghuiyz		t short.uez gh uiz iz	
bone	ərɔ¹	vrawz		vz r awz	
ear	na³	nac		n ac	
egg	əti¹	vtiz		vz t iz	
eye	mɯk	muik		m uiz k	
fat/grease	əpɯ¹	vpuiz		vz p uiz	
foot	ja¹	yaz		y az	
guts	pe¹	pez		p ez	
hair/head	kʰu² mul¹	khux mulz	 	kh ux m uz l	
hair/body	ɣən¹ mul¹	ghvnz mulz	 	gh vz n m uz l	Lakhum writes initial /ɣ/
hand/arm	jəuk	yvuk	 	j vz uq k	
head	kʰu²	khux		kh ux	
heart	muŋ² po¹	mungx poz	 	m ux -ng p oz 	
horn	əruŋ²	vrungx		vz r ux –ng	
leg	ja¹	yaz		y az	
liver	t̪ɯn¹	thuinz		th uiz n	
mouth	nɯ²	nuix		n uix	
neck	dɯŋ²	duingx		d uix –ng	
nose	kʰɯ¹	khuiz		kh uiz	
skin/bark	kʰɯ²	khuix		khu uix	
spit	tʰo¹	htoz		ht oz	
tail	mi¹	miz		m iz	
tongue	təli²	tvlix		t short.uez l ix	
tooth	βa³	wac		w ac	
wing	rəuŋ²	rvung	 	r vx ux -ng	
(finger) nail	t̪ʰɯn³	vhttuinc		vz htt uic n	
finger/toe	ʃi²	shix		sh ix	
palm 	pʰa³	phac		ph ac	
penis 	ji³	yic		y ic	
vagina	pʰa¹	phaz		ph az	
brain	kʰu² t̪ɯi¹	khux thuiyz	 	kh ux th uix ix	Lakhum writes the second syllable with tone 2 (-uiyx in Gam Win’s system)
navel	pe¹ kʰur²	pez khurx	 	p ez kh ux r	
faeces	diʔ	diq		d iq	
urine	ʃɔ¹	shawz		sh awz	
sweat	rəuŋ² lɯm³ ti²	rvungx luimc tix	   	r vx ux -ng l uic m t ix	
vomit	pʰai¹	phayz	 	ph az iz	
breath/life	əʃup əʰa²	vshup vhax	 	vz sh uq p vz h ax	
corpse	məuŋ²	mvungx	 	m vx ux –ng	
person	miʔ	miq		m iq	
I	ŋa¹	ngaz		ng az	
you (singular))	m̩¹no¹, m̩¹nəuŋ¹	mznoz, mznvungz	, 	mz n oz, mz n vz uz -ng	also written mnoz and mnvungz 
he/she	vpiʔ	vpiq	 	vz p iq	
we (inclusive)	nəuŋ¹ ʃiʔ (ʰe¹)	nvungz shiq (hez)	  ()	n vz uz -ng sh iq	
we (exclusive)	nɯi¹ ʃiʔ	nuiyz shiq	 	nh uiz iz sh iq	
you (plural)	nɯm¹ ʃiʔ	nuimz shiq	 	n uiz m sh iq	
they	tsɯŋ³ ʃiʔ	tsuingc shiq	 	ts uic -ng sh iq	
child/son	əsa¹	vsaz		vz s az	
grandchild 	əsɯu¹	vsuiuz	 	vz s uiuz	
father	əβa¹	vwaz		vz w az	
mother	əɲɯu¹	vnyuiuz		vz ny uiuz	
grandfather	əʨi²	vjix		vz j ix	
grandmother	əβi¹	vwiz		vz w iz	
elder brother	əpʰu¹	vphuz		vz ph uz	
younger brother	əno²	vnox		vz n ox	
mother’s brother	əgu¹	vghuz		vz gh uz	
father’s brother	əβəuŋ²	vwvungx		vz w ax ux -ng	
father’s sister	əŋɯi¹	vnguiyz		vz ng uiz iz	
mother’s sister	əsɯi¹	vsuiyz		vz s uiz iz	
daughter-in-law	nəm² ɲɯu¹	nvmx nyuiuz	  	n vx m ny uiz uz	
name	mɯŋ³	muingc		m uic –ng	
poison, venom	əɣəi²	vghvyx	 	vz gh vx ix	
poison (chemical)	əjaŋ²	vyangx		vz y ax –ng	
mushroom / fungus	gɤn² tsɯm¹	ghuenx tsuimx		gh uex n ts uix m	
liquor	ʨol¹	jovlz	 	j oz vz l	
banana	ɲəp ŋak	nyvp ngak	 	ny vz p ng az g	(-g is used following the vowel a) as in vphak vlak
yam, taro	tɯ¹	tuiz		t uiz	
medicine	pʰum¹	phumz		ph uz m	
juice	ti²	tix		t ix	
water (for drinking)	jɯ²	yuix		y uix	
rice (in fields, paddy)	tsəm¹	tsvmz		ts vz n	
rice (husked)	βuŋ²	wungx		w ux –ng	
rice (cooked)	duŋ³	dungc		d uc –ng	
salt	ʃum¹	shumz		sh uz m	
meat / animal	ŋəm² sa¹	ngvmx saz	 	ng vz m s az	
bird	βu¹ ʃɔ²	wuz shawx	 	w uz sh awx	
dog	ɣui¹ he²	ghuyzhex		gh uz iz h ex	
fish	ŋaʔ	ngaq		ng aq	
louse	t̪ʰɯk	httuik		htt uiz k	
snake	pɯu³	puiuc		p uiuc	
frog	lukbur²	lukburx	 	l uz k b ux r	
insect	əjuŋ¹	vyungz		vz y uz –ng	
bee	ɲaʔ	nyaq		ny aq	
dove 	hi¹tɯu³	hixtuiuc		h ix t uiuc	
monkey	βir² sɯl²	wirx suilx	 	w ix s uix l	
pig	βauk	wauk		w az uq k 	
otter	tərəm²	tvrvmx		t short.uez r ax m ix	
horse	məre¹	mvrez		m short.uez r ez 	
horse	kum²rɔ²	kumxrawx	 	k ux m r awx	
ant	sɯi¹sɔ²	suiyzsawx		s uiz iz s awx	
tiger	ʨaʔ	jaq		j aq	
elephant	ʨɔ¹	jawz		j awz	
deer	ʨuk	juk		j uq k	
deer (small)	kʰi³ji²	khicyix		kh ic y ix	
bear	ʨapbɔ²	jvpbawx		j vz p b awx	
cattle	man²sɯu²	manxsuiux		m az n s uiux	
buffalo	ŋa³	ngac		ng ac	
leech	təβət	tvwvt		t short.uez w vz t	
rat 	jɯuʔpʰɯuʔ	yuiuqphuiuq		y uiuq ph uiuq	
crab	hen¹	henz		h ez n	
crow	βu¹kʰa²	wuzkhax		w uz kh ax	
eagle	lɔ²	lawx		l awx	
hornbill	βu¹rɔ²	wuzrawx		w uz r awx	
parrot	βu¹kɯiʔ	wuzkuiyq		w uz k uiz iq	
bat	loklɔ²	loklawx		l oz k l awx	here the final stop is written with a tone 1 vowel plus final stop
bat (smaller)	lok tet	loktet		l oz k t ez t	
bat (smaller)	pʰəuksɯiʔ	phvuksuiyq		ph sz uz k s uiz q	
ashes	βər¹ pɯ³	wvrz puic	 	w vz r iz	this word means the sparks while burning
ashes	βər¹ bɤn²	wvrz buenx	 	w vz r iz b uex n	
cloud	pʰɤm²	phuemx		ph uex m	
earth	gʰaʔ	ghaq		gh aq	
fire	βər¹	wvrz		w vz r iz	
flower	pul² pɯ³	pulx puic	 	p ux l p uic	
forest	lɯŋ²	luingx		l uix –ng	
fruit	pul² t̪ɤi¹	pulx thueyz	 	p ux l th uiz iz	
grass	ren³t̪ʰɯŋ²	renchttuingx		r ec n htt uix –ng	
leaf	pul²jəuk	pulxyvuk		p ux l y vz uq k	
lightning	rəuŋ²lep	rvungxlep		r vx ux -ng l ez p	
moon	ja³ pi²	yacpix		y ax p ix	
mountain	kan²	kanx		k ax n	
mountain	ku¹	kuz		k uz	
rain	rəuŋ² jun³	rvungx yunc	 	r vx ux -ng y uc n	
river / valley	jɯ² rɯl²	yuix ruilx	 	y uix r uix l	
road	ləm²	lvmx		l ax m ix	
root	ərɯŋ²	vruingx		vz r uix -ng	
sky	rəuŋ²	rvungx		r vx ux -ng	
sky	rəuŋ²βəl²βan³	rvungxwuilxwanc		r vx ux -ng  w uix l w ac n	
smoke	βər¹ kʰɯuʔ	wvrz khuiuq	 	w az r iz kh uiuq	
star	rɯi¹sɯiʔ	ruiyzsuiyq		r uiz iz s uiz iq	
stone	luŋ¹	lungz		l uz -ng	
sun	ʃal²	shalx		r vx ux -ng sh ax l	
day	rəuŋ²nɯiʔ	rvungxnuiyq		r vx ux -ng nh uiz iq	
thunder	rəuŋ²muk	rvungxmuk		r vx ux -ng m uz k	
tree	pul² juŋ²	pulxjungx		p ux l	
wood	pul²	pulx		p ux l	
wind	rəuŋ²ɣɯl¹	rvungxghuilz		r vx ux -ng gh iuz l	
branch	pul²pʰak	pulxphak		p ux l ph az g	
branch	pul²no¹	pulxnoz		p ux l n oz	
silver	kɯm²pʰo²	kuimxphox		k uix m ph ox	
gold	kɯm² ʃɔ²	kuimx shawx	 	k uix m sh awx	
gold	ʨaʔ	jaq		j aq	
bamboo	βɔ²	wawx		w awx	
shadow	ja³kʰɔ²	yackhawx		y ac b awx 	
shadow under sun	ja³bɔ²	yacbawx			
shadow	bɯŋ³	buingc		b uic -ng 	‘shadow of a tree’
thorn 	ʃɯuʔ	shuiuq		sh uiuq	
night	rəuŋ²βər²	rvungxwvrx		r vz ux -ng w vx r	
night	rəuŋ²ɲauk	rvungxnyauk		r vx ux -ng ny az uq k	
iron	jan²	yanx		y ax n	
paddy field, wet field	na²	nax		n ax	
field	βɯk	wuik		w uiz k	
arrow	laʔ sən¹	laq svnz	 	l aq s vz n	
needle	mi¹kʰi²	mizkhix		m iz kh ix	
house	jɯm²	yuimx		y uix m	
bow	laʔ	laq		l aq	
boat	li²	lix		l ix	
mortar	tʰɯm¹	htuimz		ht uiz m	
village	gʰaʔʃuŋ³	ghaqshungc		gh aq sh uc –ng	
spear	paʔ	paq		p aq	
cooking pot	tɯk	tuik		t uiz k	
plate	pan²	panx		p ax n	
mat	dəm²	dvmx		d ax m ix	
bed	ʨɯŋ¹	juingz		j uiz –ng	
steps	hi kʰu²	hixkhux phac	 	h ix kh ux ph ac	
door	ka³lɯ²	kacluix		k ac l uix	
fireplace	təp	tvp		t vz p	
firewood	ʨan²	janx		j ax n	
festival	mol²	moalx	ox	m ox l	
drum	nuŋ²	nungx		n ux –ng	
gong	ɲam²	nyamx		ny ax –ng	
cymbal	ʨok	jok		j oz k	
left side	jauk pʰər²	yauk phvrx	 	j az uq k ph ax r ix	
right side	jauk keʔ	yauk keq	 	j az uq k k eq 	
far (v.)	əlu¹	vluz		vz l uz	
near (v.)	əɲek	vnyek		vz ny ez k	
year	rəuŋ² βɔ³	rvungx wawc	 	r vx ux -ng w awc	
today	məi¹ʨɯu³ rəuŋ²n̪ɯiʔ	mvyzjuiuc rvungxnhuiyq	 	m iz iz j uiuc r vx ux -ng ng uiz nh uiz iq 	
today	tən̪ɯiʔ	tvnhuiyq		t short-uez nh uiz iq	
today	m̩¹n̪ɯiʔ	mznhuiyq		mz nh uiz iq	
tomorrow	i¹nəp	invp		iz n vz p	
day after tomorrow	ʃɯm¹ nəp	shuimz nvp	 	sh uiz m n vz p	
second day after tomorrow	t̪ɯm² nəp	thuimx nvp	 	th uix m n vz p	
yesterday	m¹ja³	mzyac		mz y ac	
day before yesterday	t̪ʰa¹ra³	httazrac		htt az r ac	
one	əʃi¹	vshiz		vz sh iz	
two	ən̪ɯi³	vnhuiyc		vz nh uic ic	
three	ət̪ɯm²	vthuimx		vz th uix m	
four	bəli³	bvlic		b short.uez l ic	
five	bəŋa³	bvngac		b short.uez n ac	
six	təruk	tvruk		t short.uez r uq k	
seven	məʃi²	mvshix		m short.uez ic sh ix	
eight	təʨət	tvjvt		t short.uez j az t	
nine	təkɯu¹	tvkuiuz		t short.uez k uiz	
ten	rokʃi¹	rokshiz	 	r oz k sh iz	
twenty	rokn̪ɯi³	roknhuiyc		r oz k nh uic ic	
hundred	ʃa³ ʃi¹	shac shiz	 	sh ac sh iz	
(be) many (v.)	pəuŋ³ həl³	pvungc hvlc	 	p ac uc -ng h vc l	
be born	ʨɔ²	jawx		j awx	
be born.NOMZ	əʨɔ³	vjawc		az j awc	
sleep	kətsoəl²	kvtsovlx		k short.uez ts ox vx l	
sleep.NOMZ	əkətsoəl²	vkvtsovlx		vz k short.uez ts ox vx l	
weep	kʰoər²	khovrz		kh ox vx r	
weep.NOMZ	əkʰoər²	vkhovrc		vz kh ox vx r	
laugh	n̪ɯi²	nhuiyx		n uix ix	
laugh.NOMZ	ən̪ɯi¹	vnhuiyz		vz n uiz iz	
die	t̪ɯi³	thuiyc		th uic ic	
die.NOMZ	ət̪ɯi³	vthuiyc		vz th uic ic	
awaken	kəten³	kvtenc		k short.uez t ec n	
cough	səu¹	svuz		s vz uz	
cough.NOMZ	əsəu¹	vsvuz		vz s vz uz	
stand	ʨəp	jvp		j vq p	
stand.NOMZ	əʨəp	vjvp		vz j vq p	
sit	ŋəuŋ³	ngvungc		ng vc uc -ng	
sit.NOMZ	əŋəuŋ³	vngvungc		vz ng vc uc -ng	
urinate	ʃi¹	shiz		sh iz	
urinate.NOMZ	əʃi¹	vshiz		vz sh iz	
go	ka¹	kaz		k az	
go.NOMZ	əkai¹	vkayz 		vz k az iz	also vkaz
come	βəuŋ¹	wvungz		w vz uz -ng	
come.NOMZ	əβəuŋ³	vwvungc		vz w vc uc -ng	also vwvungz
fall	dəi¹	dvyz		d vz iz 	
fall.NOMZ	ədəi¹	vdvyz		vz d vz iz 	
roll (as ball)	kɯ²	kuix		k uiz	
roll.NOMZ	əkɯ³	vkuic		vz k uic	
fall	kətʰɯu³	kvhtuiuc		k short.uez ht uiuc	
fall.NOMZ	əkətʰɯu³	vkvhtuiuc		vz k short.uez ht uiuc	
go up	dɯ¹	duiz		d uiz	
go up.NOMZ	ədɯ³	vduic		vz d uic	
go down	sət	svt		s vz t 	
go down.NOMZ	əsət	vsvt		vz s vz t 	
fly	ba¹	baz		b az	
fly,NOMZ	əba¹	vbaz		vz b az	
hidden	t̪ʰɯiʔ	httuiyq		htt uiz iq	
hide	kət̪ʰɯiʔ	kvhtuiyq		k short.uez htt uiz iq	
hide (something)	tət̪ʰɯiʔ	tvhttuiyq	 	t short.uez htt uiz iq	
run	ju¹	yuz		y uz	
run.NOMZ	əju¹	vyuz		vz y uz	
emerge	duŋ¹	dungz		d uz -ng	
emerge.NOMZ	əduŋ³	vdungc		vz d uc -ng	
enter	ɲɯp	nyuip		ny uiz p	
enter.NOMZ	əɲɯp	vnyuip		vz ny uiz p	
dive	dok	dok		d oq k	
dive.NOMZ	ədok	vdok		vz d oq k	
afraid	hi¹	hiz		h iz	
afraid.NOMZ	əhi¹	vhiz		vz h iz	
know (a fact), to 	ələm¹ tɯu¹	tuiuz		t uiuz	
know (understand), to	ətɯu¹ ətai¹	vtuiuz vtayz	 	vz t uiuz vz t az iz	
ashamed, shy	jəl³	yvlc		y vc l	
ashamed.NOMZ	əjəl³	vyvlc		vz y vc l	
forget	ləuk	lvuk		l vz uz k	
forget.NOMZ	ələuk	vlvuk	 	vz l vz uz k	
dream	məuŋ¹	mvungz		m vz uz -ng	
dream.NOMZ	əməuŋ¹	vmvungz		vz m vz uz -ng	
see	kʰi¹	khiz		kh iz	
see.NOMZ	əkʰi³	vkhic		vz kh iz	
look	lɔ³, lɔ³ ʃɯu¹	lawc, lawc shuiuz	,  	l awc, l awc sh uiuc	
look.NOMZ	əlɔ³	vlawc		vz l awc	
hear	tai¹	tayz		t az iz	
hear.NOMZ	ətai¹	vtayz		vz t az iz	
sing	ʃi²	shix		sh ix	
sing.NOMZ	əʃi³	vshic		vz sh ix	
smell	t̪ɯŋ²	thuingx		th uix -ng	
smell.NOMZ	ət̪ɯŋ³	vthuingc		vz th uic -ng	
smell	ʃe³	shec		sh ec	
smell.NOMZ	əʃe³	vshec		vz sh ec	
ask	βi¹	wiz		w iz	
ask.NOMZ	əβi¹	vwiz		vz wi z	
speak	kəjak	kvjak		k short.uez j aq g	
speak.NOMZ	kəja¹	kvjaz		k short.uez j az	
tell	ʨuŋ²	jungx		j ux -ng	
tell.NOMZ	əʨuŋ³	vjungc		vz j uc -ng	
thin	əβar²	vwarx		vz w ax r	
