# From Kpelle proposal
# http://std.dkuug.dk/jtc1/sc2/wg2/docs/n3762.pdf
# Date: 2010-02-23 5
16C01;KPELLE SYLLABLE BI-MI
16C02;KPELLE SYLLABLE KPI-GBI
16C03;KPELLE SYLLABLE FI-VI
16C04;KPELLE SYLLABLE TI-DI
16C05;KPELLE SYLLABLE DI-TI
16C06;KPELLE SYLLABLE LI-NI
16C07;KPELLE SYLLABLE HI-JI
16C08;KPELLE SYLLABLE YI-NYI
16C09;KPELLE SYLLABLE KI-GI
16C0A;KPELLE SYLLABLE KWI-GWI
16C0B;KPELLE SYLLABLE GHI-NGI
16C0C;KPELLE SYLLABLE NGWI
16C0D;KPELLE SYLLABLE MIN
16C0E;KPELLE SYLLABLE NIN
16C0F;KPELLE SYLLABLE PA-BHA
16C10;KPELLE SYLLABLE BA-MA
16C11;KPELLE SYLLABLE KPA-GBA
16C12;KPELLE SYLLABLE FA-VA
16C13;KPELLE SYLLABLE TA-DA
16C14;KPELLE SYLLABLE LA-NA
16C15;KPELLE SYLLABLE HA-JA
16C16;KPELLE SYLLABLE YA-NYA
16C17;KPELLE SYLLABLE KA-GA
16C18;KPELLE SYLLABLE GA-KA
16C19;KPELLE SYLLABLE KWA-GWA
16C1A;KPELLE SYLLABLE GHA-NGA
16C1B;KPELLE SYLLABLE NGWA
16C1C;KPELLE SYLLABLE WANG
16C1D;KPELLE SYLLABLE MAN
16C1E;KPELLE SYLLABLE NAN
16C1F;KPELLE SYLLABLE NYAN
16C20;KPELLE SYLLABLE NGAN
16C21;KPELLE SYLLABLE PU-BHU
16C22;KPELLE SYLLABLE KPU-GBU
16C23;KPELLE SYLLABLE FU-VU
16C24;KPELLE SYLLABLE TU-DU
16C25;KPELLE SYLLABLE LU-NU
16C26;KPELLE SYLLABLE HU-JU
16C27;KPELLE SYLLABLE YU-NYU
16C28;KPELLE SYLLABLE KU-GU
16C29;KPELLE SYLLABLE WU
16C2A;KPELLE SYLLABLE WUNG
16C2B;KPELLE SYLLABLE MUN
16C2C;KPELLE SYLLABLE NUN
16C2D;KPELLE SYLLABLE NGUN
16C2E;KPELLE SYLLABLE PEE-BHEE
16C2F;KPELLE SYLLABLE BEE-MEE
16C30;KPELLE SYLLABLE KPEE-GBEE
16C31;KPELLE SYLLABLE FEE-VEE
16C32;KPELLE SYLLABLE TEE-DEE
16C33;KPELLE SYLLABLE LEE-NEE
16C34;KPELLE SYLLABLE HEE-JEE
16C35;KPELLE SYLLABLE YEE-NYEE
16C36;KPELLE SYLLABLE KEE-GEE
16C37;KPELLE SYLLABLE KWEE-GWEE
16C38;KPELLE SYLLABLE GHEE-NGEE
16C39;KPELLE SYLLABLE WEE
16C3A;KPELLE SYLLABLE NGWEE
16C3B;KPELLE SYLLABLE NEEN
16C3C;KPELLE SYLLABLE NYEEN
16C3D;KPELLE SYLLABLE NGEEN
16C3E;KPELLE SYLLABLE PE-BHE
16C3F;KPELLE SYLLABLE BE-ME
16C40;KPELLE SYLLABLE KPE-GBE
16C41;KPELLE SYLLABLE FE-VE
16C42;KPELLE SYLLABLE TE-DE
16C43;KPELLE SYLLABLE LE-NE
16C44;KPELLE SYLLABLE HE-JE
16C45;KPELLE SYLLABLE YE-NYE
16C46;KPELLE SYLLABLE KE-GE
16C47;KPELLE SYLLABLE KWE-GWE
16C48;KPELLE SYLLABLE GHE-NGE
16C49;KPELLE SYLLABLE NGWE
16C4A;KPELLE SYLLABLE E
16C4B;KPELLE SYLLABLE MEN
16C4C;KPELLE SYLLABLE NEN
16C4D;KPELLE SYLLABLE NYEN
16C4E;KPELLE SYLLABLE NGEN
16C4F;KPELLE SYLLABLE PO-BHO
16C50;KPELLE SYLLABLE BO-MO
16C51;KPELLE SYLLABLE KPO-GBO
16C52;KPELLE SYLLABLE FO-VO
16C53;KPELLE SYLLABLE TO-DO
16C54;KPELLE SYLLABLE LO-NO
16C55;KPELLE SYLLABLE HO-JO
16C56;KPELLE SYLLABLE KO-GO
16C57;KPELLE SYLLABLE WO
16C58;KPELLE SYLLABLE WONG
16C59;KPELLE SYLLABLE MON
16C5A;KPELLE SYLLABLE NON
16C5B;KPELLE SYLLABLE NYON
16C5C;KPELLE SYLLABLE NGON
16C5D;KPELLE SYLLABLE POO-BHOO
16C5E;KPELLE SYLLABLE BOO-MOO
16C5F;KPELLE SYLLABLE KPOO-GBOO
16C60;KPELLE SYLLABLE FOO-VOO
16C61;KPELLE SYLLABLE TOO-DOO
16C62;KPELLE SYLLABLE LOO-NOO
16C63;KPELLE SYLLABLE HOO-JOO
16C64;KPELLE SYLLABLE YOO-NYOO
16C65;KPELLE SYLLABLE KOO-GOO
16C66;KPELLE SYLLABLE WOO Syllable lengtheners
16C67;KPELLE SYLLABLE M
16C68;KPELLE SYLLABLE Y-NY
16C69;KPELLE SYLLABLE NG Numbers
16C71;KPELLE DIGIT ONE
16C72;KPELLE DIGIT TWO
16C73;KPELLE DIGIT THREE
16C74;KPELLE DIGIT FOUR
16C75;KPELLE DIGIT FIVE
16C76;KPELLE DIGIT SIX
16C77;KPELLE DIGIT SEVEN
16C78;KPELLE DIGIT EIGHT
16C79;KPELLE DIGIT NINE
16C7A;KPELLE NUMBER TEN
